Date,Close,High,Low
2013-01-03,0.408,0.408,0.408
2013-01-04,0.397,0.397,0.397
2013-01-07,0.397,0.397,0.397
2013-01-08,0.395,0.395,0.395
2013-01-09,0.397,0.397,0.397
2013-01-10,0.397,0.397,0.397
2013-01-11,0.399,0.399,0.399
2013-01-14,0.399,0.399,0.399
2013-01-15,0.399,0.399,0.399
2013-01-16,0.408,0.408,0.408
2013-01-17,0.405,0.405,0.405
2013-01-18,0.41,0.41,0.41
2013-01-21,0.408,0.408,0.408
2013-01-22,0.41,0.41,0.41
2013-01-23,0.406,0.406,0.406
2013-01-24,0.399,0.399,0.399
2013-01-25,0.388,0.388,0.388
2013-01-28,0.388,0.388,0.388
2013-01-29,0.387,0.387,0.387
2013-01-30,0.385,0.385,0.385
2013-01-31,0.386,0.386,0.386
2013-02-01,0.386,0.386,0.386
2013-02-04,0.382,0.382,0.382
2013-02-05,0.378,0.378,0.378
2013-02-06,0.375,0.375,0.375
2013-02-07,0.369,0.369,0.369
2013-02-08,0.364,0.364,0.364
2013-02-11,0.364,0.364,0.364
2013-02-12,0.364,0.364,0.364
2013-02-13,0.364,0.364,0.364
2013-02-14,0.366,0.366,0.366
2013-02-15,0.361,0.361,0.361
2013-02-18,0.347,0.347,0.347
2013-02-19,0.349,0.349,0.349
2013-02-20,0.352,0.352,0.352
2013-02-21,0.34,0.34,0.34
2013-02-22,0.344,0.344,0.344
2013-02-25,0.342,0.342,0.342
2013-02-26,0.336,0.336,0.336
2013-02-27,0.342,0.342,0.342
2013-02-28,0.344,0.344,0.344
2013-03-01,0.342,0.342,0.342
2013-03-04,0.335,0.335,0.335
2013-03-05,0.339,0.339,0.339
2013-03-06,0.331,0.331,0.331
2013-03-07,0.335,0.335,0.335
2013-03-08,0.336,0.336,0.336
2013-03-11,0.338,0.338,0.338
2013-03-12,0.334,0.334,0.334
2013-03-13,0.329,0.329,0.329
2013-03-14,0.324,0.324,0.324
2013-03-15,0.329,0.329,0.329
2013-03-18,0.322,0.322,0.322
2013-03-19,0.32,0.32,0.32
2013-03-20,0.332,0.332,0.332
2013-03-21,0.33,0.33,0.33
2013-03-22,0.331,0.331,0.331
2013-03-25,0.332,0.332,0.332
2013-03-26,0.332,0.332,0.332
2013-03-27,0.334,0.334,0.334
2013-03-28,0.33,0.33,0.33
2013-04-02,0.33,0.33,0.33
2013-04-03,0.323,0.323,0.323
2013-04-04,0.323,0.323,0.323
2013-04-05,0.31,0.31,0.31
2013-04-08,0.317,0.317,0.317
2013-04-09,0.322,0.322,0.322
2013-04-10,0.332,0.332,0.332
2013-04-11,0.327,0.327,0.327
2013-04-12,0.323,0.323,0.323
2013-04-15,0.3,0.3,0.3
2013-04-16,0.295,0.295,0.295
2013-04-17,0.292,0.292,0.292
2013-04-18,0.287,0.287,0.287
2013-04-19,0.295,0.295,0.295
2013-04-22,0.292,0.292,0.292
2013-04-23,0.288,0.288,0.288
2013-04-24,0.292,0.292,0.292
2013-04-25,0.307,0.307,0.307
2013-04-26,0.301,0.301,0.301
2013-04-29,0.291,0.291,0.291
2013-04-30,0.295,0.295,0.295
2013-05-01,0.295,0.295,0.295
2013-05-02,0.293,0.293,0.293
2013-05-03,0.296,0.296,0.296
2013-05-07,0.298,0.298,0.298
2013-05-08,0.3,0.3,0.3
2013-05-09,0.304,0.304,0.304
2013-05-10,0.3,0.3,0.3
2013-05-13,0.292,0.292,0.292
2013-05-14,0.289,0.289,0.289
2013-05-15,0.289,0.289,0.289
2013-05-16,0.285,0.285,0.285
2013-05-17,0.285,0.285,0.285
2013-05-20,0.28,0.28,0.28
2013-05-21,0.282,0.282,0.282
2013-05-22,0.282,0.282,0.282
2013-05-23,0.276,0.276,0.276
2013-05-24,0.276,0.276,0.276
2013-05-28,0.276,0.276,0.276
2013-05-29,0.273,0.273,0.273
2013-05-30,0.274,0.274,0.274
2013-05-31,0.278,0.278,0.278
2013-06-03,0.268,0.268,0.268
2013-06-04,0.276,0.276,0.276
2013-06-05,0.272,0.272,0.272
2013-06-06,0.269,0.269,0.269
2013-06-07,0.269,0.269,0.269
2013-06-10,0.246,0.246,0.246
2013-06-11,0.234,0.234,0.234
2013-06-12,0.234,0.234,0.234
2013-06-13,0.241,0.241,0.241
2013-06-14,0.233,0.233,0.233
2013-06-17,0.228,0.228,0.228
2013-06-18,0.227,0.227,0.227
2013-06-19,0.22,0.22,0.22
2013-06-20,0.217,0.217,0.217
2013-06-21,0.204,0.204,0.204
2013-06-24,0.192,0.192,0.192
2013-06-25,0.182,0.182,0.182
2013-06-26,0.184,0.184,0.184
2013-06-27,0.179,0.179,0.179
2013-06-28,0.177,0.177,0.177
2013-07-01,0.177,0.177,0.177
2013-07-02,0.188,0.188,0.188
2013-07-03,0.186,0.186,0.186
2013-07-04,0.206,0.206,0.206
2013-07-05,0.204,0.204,0.204
2013-07-08,0.19,0.19,0.19
2013-07-09,0.195,0.195,0.195
2013-07-10,0.196,0.196,0.196
2013-07-11,0.206,0.206,0.206
2013-07-12,0.202,0.202,0.202
2013-07-15,0.207,0.207,0.207
2013-07-16,0.2,0.2,0.2
2013-07-17,0.201,0.201,0.201
2013-07-18,0.201,0.201,0.201
2013-07-19,0.211,0.211,0.211
2013-07-22,0.211,0.211,0.211
2013-07-23,0.228,0.228,0.228
2013-07-24,0.231,0.231,0.231
2013-07-25,0.224,0.224,0.224
2013-07-26,0.224,0.224,0.224
2013-07-29,0.218,0.218,0.218
2013-07-30,0.211,0.211,0.211
2013-07-31,0.214,0.214,0.214
2013-08-01,0.217,0.217,0.217
2013-08-02,0.213,0.213,0.213
2013-08-05,0.215,0.215,0.215
2013-08-06,0.21,0.21,0.21
2013-08-07,0.206,0.206,0.206
2013-08-08,0.209,0.209,0.209
2013-08-09,0.217,0.217,0.217
2013-08-12,0.24,0.24,0.24
2013-08-13,0.237,0.237,0.237
2013-08-14,0.237,0.237,0.237
2013-08-15,0.233,0.233,0.233
2013-08-16,0.239,0.239,0.239
2013-08-19,0.235,0.235,0.235
2013-08-20,0.222,0.222,0.222
2013-08-21,0.226,0.226,0.226
2013-08-22,0.233,0.233,0.233
2013-08-23,0.237,0.237,0.237
2013-08-27,0.244,0.244,0.244
2013-08-28,0.251,0.251,0.251
2013-08-29,0.249,0.249,0.249
2013-08-30,0.251,0.251,0.251
2013-09-02,0.253,0.253,0.253
2013-09-03,0.253,0.253,0.253
2013-09-04,0.255,0.255,0.255
2013-09-05,0.253,0.253,0.253
2013-09-06,0.245,0.245,0.245
2013-09-09,0.25,0.25,0.25
2013-09-10,0.249,0.249,0.249
2013-09-11,0.242,0.242,0.242
2013-09-12,0.239,0.239,0.239
2013-09-13,0.235,0.235,0.235
2013-09-16,0.244,0.244,0.244
2013-09-17,0.239,0.239,0.239
2013-09-18,0.236,0.236,0.236
2013-09-19,0.261,0.261,0.261
2013-09-20,0.261,0.261,0.261
2013-09-23,0.249,0.249,0.249
2013-09-24,0.245,0.245,0.245
2013-09-25,0.246,0.246,0.246
2013-09-26,0.246,0.246,0.246
2013-09-27,0.242,0.242,0.242
2013-09-30,0.24,0.24,0.24
2013-10-01,0.24,0.24,0.24
2013-10-02,0.231,0.231,0.231
2013-10-03,0.236,0.236,0.236
2013-10-04,0.233,0.233,0.233
2013-10-07,0.23,0.23,0.23
2013-10-08,0.232,0.232,0.232
2013-10-09,0.231,0.231,0.231
2013-10-10,0.231,0.231,0.231
2013-10-11,0.228,0.228,0.228
2013-10-14,0.228,0.228,0.228
2013-10-15,0.23,0.23,0.23
2013-10-16,0.23,0.23,0.23
2013-10-17,0.23,0.23,0.23
2013-10-18,0.236,0.236,0.236
2013-10-21,0.236,0.236,0.236
2013-10-22,0.233,0.233,0.233
2013-10-23,0.231,0.231,0.231
2013-10-24,0.23,0.23,0.23
2013-10-25,0.232,0.232,0.232
2013-10-28,0.232,0.232,0.232
2013-10-29,0.23,0.23,0.23
2013-10-30,0.231,0.231,0.231
2013-10-31,0.231,0.231,0.231
2013-11-01,0.231,0.231,0.231
2013-11-04,0.232,0.232,0.232
