Date,Close,High,Low
2016-05-04,8.85,8.85,8.85
2016-05-05,9.0,9.0,9.0
2016-05-06,8.9,8.9,8.9
2016-05-09,7.65,7.65,7.65
2016-05-10,8.03,8.03,8.03
2016-05-11,8.47,8.47,8.47
2016-05-12,7.89,7.89,7.89
2016-05-13,7.88,7.88,7.88
2016-05-16,8.33,8.33,8.33
2016-05-17,8.63,8.63,8.63
2016-05-18,8.4,8.4,8.4
2016-05-19,8.04,8.04,8.04
2016-05-20,8.27,8.27,8.27
2016-05-23,8.23,8.23,8.23
2016-05-24,8.45,8.45,8.45
2016-05-25,8.65,8.65,8.65
2016-05-26,8.76,8.76,8.76
2016-05-27,8.5,8.5,8.5
2016-05-31,8.25,8.25,8.25
2016-06-01,8.1,8.1,8.1
2016-06-02,8.05,8.05,8.05
2016-06-03,8.52,8.52,8.52
2016-06-06,9.41,9.41,9.41
2016-06-07,9.19,9.19,9.19
2016-06-08,9.6,9.6,9.6
2016-06-09,9.14,9.14,9.14
2016-06-10,8.7,8.7,8.7
2016-06-13,8.61,8.61,8.61
2016-06-14,8.03,8.03,8.03
2016-06-15,8.51,8.51,8.51
2016-06-16,8.26,8.26,8.26
2016-06-17,8.68,8.68,8.68
2016-06-20,9.35,9.35,9.35
2016-06-21,9.15,9.15,9.15
2016-06-22,9.36,9.36,9.36
2016-06-23,9.81,9.81,9.81
2016-06-24,8.56,8.56,8.56
2016-06-27,7.91,7.91,7.91
2016-06-28,8.17,8.17,8.17
2016-06-29,8.88,8.88,8.88
2016-06-30,9.18,9.18,9.18
2016-07-01,9.55,9.55,9.55
2016-07-04,9.64,9.64,9.64
2016-07-05,9.15,9.15,9.15
2016-07-06,8.96,8.96,8.96
2016-07-07,9.15,9.15,9.15
2016-07-08,9.16,9.16,9.16
2016-07-11,9.98,9.98,9.98
2016-07-12,10.44,10.44,10.44
2016-07-13,10.14,10.14,10.14
2016-07-14,10.68,10.68,10.68
2016-07-15,10.47,10.47,10.47
2016-07-18,10.47,10.47,10.47
2016-07-19,10.13,10.13,10.13
2016-07-20,9.71,9.71,9.71
2016-07-21,9.9,9.9,9.9
2016-07-22,9.65,9.65,9.65
2016-07-25,9.68,9.68,9.68
2016-07-26,9.75,9.75,9.75
2016-07-27,10.03,10.03,10.03
2016-07-28,10.53,10.53,10.53
2016-07-29,10.43,10.43,10.43
2016-08-01,10.62,10.62,10.62
2016-08-02,10.59,10.59,10.59
2016-08-03,10.57,10.57,10.57
2016-08-04,10.51,10.51,10.51
2016-08-05,10.67,10.67,10.67
2016-08-08,10.84,10.84,10.84
2016-08-09,10.85,10.85,10.85
2016-08-10,10.83,10.83,10.83
2016-08-11,10.89,10.89,10.89
2016-08-12,10.51,10.51,10.51
2016-08-15,10.67,10.67,10.67
2016-08-16,11.02,11.02,11.02
2016-08-17,10.72,10.72,10.72
2016-08-18,11.0,11.0,11.0
2016-08-19,10.8,10.8,10.8
2016-08-22,10.42,10.42,10.42
2016-08-23,10.97,10.97,10.97
2016-08-24,10.66,10.66,10.66
2016-08-25,10.52,10.52,10.52
2016-08-26,10.71,10.71,10.71
2016-08-30,10.15,10.15,10.15
2016-08-31,9.73,9.73,9.73
2016-09-01,9.94,9.94,9.94
2016-09-02,10.2,10.2,10.2
2016-09-05,10.28,10.28,10.28
2016-09-06,10.55,10.55,10.55
2016-09-07,10.64,10.64,10.64
2016-09-08,10.84,10.84,10.84
2016-09-09,10.66,10.66,10.66
2016-09-12,10.38,10.38,10.38
2016-09-13,9.82,9.82,9.82
2016-09-14,10.1,10.1,10.1
2016-09-15,10.2,10.2,10.2
2016-09-16,10.05,10.05,10.05
2016-09-19,10.65,10.65,10.65
2016-09-20,10.58,10.58,10.58
2016-09-21,10.99,10.99,10.99
2016-09-22,11.43,11.43,11.43
2016-09-23,11.71,11.71,11.71
2016-09-26,11.47,11.47,11.47
2016-09-27,11.34,11.34,11.34
2016-09-28,11.42,11.42,11.42
2016-09-29,12.07,12.07,12.07
2016-09-30,11.92,11.92,11.92
2016-10-03,12.14,12.14,12.14
2016-10-04,11.92,11.92,11.92
2016-10-05,12.24,12.24,12.24
2016-10-06,11.96,11.96,11.96
2016-10-07,12.05,12.05,12.05
2016-10-10,12.23,12.23,12.23
2016-10-11,11.86,11.86,11.86
2016-10-12,12.06,12.06,12.06
2016-10-13,11.52,11.52,11.52
2016-10-14,11.64,11.64,11.64
2016-10-17,11.71,11.71,11.71
2016-10-18,12.02,12.02,12.02
2016-10-19,12.3,12.3,12.3
2016-10-20,12.38,12.38,12.38
2016-10-21,12.71,12.71,12.71
2016-10-24,12.38,12.38,12.38
2016-10-25,12.89,12.89,12.89
2016-10-26,12.7,12.7,12.7
2016-10-27,12.73,12.73,12.73
2016-10-28,12.72,12.72,12.72
2016-10-31,13.15,13.15,13.15
2016-11-01,13.06,13.06,13.06
2016-11-02,13.2,13.2,13.2
2016-11-03,13.02,13.02,13.02
2016-11-04,12.74,12.74,12.74
2016-11-07,13.21,13.21,13.21
2016-11-08,13.55,13.55,13.55
2016-11-09,14.05,14.05,14.05
2016-11-10,14.03,14.03,14.03
2016-11-11,13.74,13.74,13.74
2016-11-14,13.93,13.93,13.93
2016-11-15,12.97,12.97,12.97
2016-11-16,12.92,12.92,12.92
2016-11-17,13.28,13.28,13.28
2016-11-18,12.77,12.77,12.77
2016-11-21,13.31,13.31,13.31
2016-11-22,14.25,14.25,14.25
2016-11-23,14.62,14.62,14.62
2016-11-24,14.82,14.82,14.82
2016-11-25,14.63,14.63,14.63
2016-11-28,14.58,14.58,14.58
2016-11-29,14.28,14.28,14.28
2016-11-30,14.07,14.07,14.07
2016-12-01,14.44,14.44,14.44
2016-12-02,14.6,14.6,14.6
2016-12-05,15.03,15.03,15.03
2016-12-06,14.38,14.38,14.38
2016-12-07,15.0,15.0,15.0
2016-12-08,14.88,14.88,14.88
2016-12-09,14.5,14.5,14.5
2016-12-12,14.56,14.56,14.56
2016-12-13,14.16,14.16,14.16
2016-12-14,14.35,14.35,14.35
2016-12-15,13.61,13.61,13.61
2016-12-16,13.43,13.43,13.43
2016-12-19,13.24,13.24,13.24
2016-12-20,13.33,13.33,13.33
2016-12-21,13.31,13.31,13.31
2016-12-22,13.13,13.13,13.13
2016-12-23,13.14,13.14,13.14
2016-12-28,13.53,13.53,13.53
2016-12-29,13.51,13.51,13.51
2016-12-30,13.59,13.59,13.59
2017-01-03,13.5,13.5,13.5
2017-01-04,13.36,13.36,13.36
2017-01-05,13.5,13.5,13.5
2017-01-06,13.24,13.24,13.24
2017-01-09,13.33,13.33,13.33
2017-01-10,14.31,14.31,14.31
2017-01-11,14.9,14.9,14.9
2017-01-12,15.13,15.13,15.13
2017-01-13,15.37,15.37,15.37
2017-01-16,15.5,15.5,15.5
2017-01-17,15.61,15.61,15.61
2017-01-18,15.63,15.63,15.63
2017-01-19,15.26,15.26,15.26
2017-01-20,15.15,15.15,15.15
2017-01-23,15.57,15.57,15.57
2017-01-24,16.48,16.48,16.48
2017-01-25,16.33,16.33,16.33
2017-01-26,16.2,16.2,16.2
2017-01-27,16.31,16.31,16.31
2017-01-30,15.8,15.8,15.8
2017-01-31,16.22,16.22,16.22
2017-02-01,16.48,16.48,16.48
2017-02-02,16.38,16.38,16.38
2017-02-03,15.79,15.79,15.79
2017-02-06,15.74,15.74,15.74
2017-02-07,15.86,15.86,15.86
2017-02-08,15.85,15.85,15.85
2017-02-09,15.37,15.37,15.37
2017-02-10,16.04,16.04,16.04
2017-02-13,16.77,16.77,16.77
2017-02-14,16.47,16.47,16.47
2017-02-15,16.5,16.5,16.5
2017-02-16,16.24,16.24,16.24
2017-02-17,15.85,15.85,15.85
2017-02-20,16.09,16.09,16.09
2017-02-21,15.99,15.99,15.99
2017-02-22,15.47,15.47,15.47
2017-02-23,15.13,15.13,15.13
2017-02-24,14.83,14.83,14.83
2017-02-27,14.99,14.99,14.99
2017-02-28,14.94,14.94,14.94
2017-03-01,15.29,15.29,15.29
2017-03-02,14.87,14.87,14.87
2017-03-03,14.85,14.85,14.85
2017-03-06,14.38,14.38,14.38
2017-03-07,14.21,14.21,14.21
2017-03-08,13.92,13.92,13.92
2017-03-09,13.27,13.27,13.27
2017-03-10,13.18,13.18,13.18
2017-03-13,13.77,13.77,13.77
2017-03-14,13.62,13.62,13.62
2017-03-15,13.94,13.94,13.94
2017-03-16,15.23,15.23,15.23
2017-03-17,15.21,15.21,15.21
2017-03-20,15.01,15.01,15.01
2017-03-21,14.77,14.77,14.77
2017-03-22,14.99,14.99,14.99
2017-03-23,14.9,14.9,14.9
2017-03-24,14.83,14.83,14.83
2017-03-27,14.35,14.35,14.35
2017-03-28,14.4,14.4,14.4
2017-03-29,14.57,14.57,14.57
2017-03-30,14.94,14.94,14.94
2017-03-31,14.53,14.53,14.53
2017-04-03,14.33,14.33,14.33
2017-04-04,14.63,14.63,14.63
2017-04-05,14.71,14.71,14.71
2017-04-06,14.74,14.74,14.74
2017-04-07,14.52,14.52,14.52
2017-04-10,14.55,14.55,14.55
2017-04-11,14.45,14.45,14.45
2017-04-12,13.94,13.94,13.94
2017-04-13,13.89,13.89,13.89
2017-04-18,13.53,13.53,13.53
2017-04-19,13.65,13.65,13.65
2017-04-20,13.82,13.82,13.82
2017-04-21,13.6,13.6,13.6
2017-04-24,13.72,13.72,13.72
2017-04-25,13.69,13.69,13.69
2017-04-26,13.6,13.6,13.6
2017-04-27,13.33,13.33,13.33
2017-04-28,13.6,13.6,13.6
2017-05-02,13.25,13.25,13.25
2017-05-03,12.76,12.76,12.76
2017-05-04,12.28,12.28,12.28
2017-05-05,12.7,12.7,12.7
2017-05-08,12.4,12.4,12.4
2017-05-09,12.53,12.53,12.53
2017-05-10,12.79,12.79,12.79
2017-05-11,12.87,12.87,12.87
2017-05-12,12.74,12.74,12.74
2017-05-15,13.16,13.16,13.16
2017-05-16,13.36,13.36,13.36
2017-05-17,13.28,13.28,13.28
2017-05-18,13.11,13.11,13.11
2017-05-19,13.53,13.53,13.53
2017-05-22,13.4,13.4,13.4
2017-05-23,13.23,13.23,13.23
2017-05-24,13.35,13.35,13.35
2017-05-25,12.99,12.99,12.99
2017-05-26,12.79,12.79,12.79
2017-05-30,12.89,12.89,12.89
2017-05-31,12.62,12.62,12.62
2017-06-01,12.65,12.65,12.65
2017-06-02,12.59,12.59,12.59
2017-06-05,12.57,12.57,12.57
2017-06-06,12.81,12.81,12.81
2017-06-07,12.92,12.92,12.92
2017-06-08,13.07,13.07,13.07
2017-06-09,13.08,13.08,13.08
2017-06-12,13.07,13.07,13.07
2017-06-13,13.17,13.17,13.17
2017-06-14,12.82,12.82,12.82
2017-06-15,12.05,12.05,12.05
2017-06-16,11.73,11.73,11.73
2017-06-19,11.92,11.92,11.92
2017-06-20,11.51,11.51,11.51
2017-06-21,11.74,11.74,11.74
2017-06-22,11.79,11.79,11.79
2017-06-23,11.75,11.75,11.75
2017-06-26,11.77,11.77,11.77
2017-06-27,12.24,12.24,12.24
2017-06-28,12.42,12.42,12.42
2017-06-29,12.71,12.71,12.71
2017-06-30,12.67,12.67,12.67
2017-07-03,13.08,13.08,13.08
2017-07-04,13.09,13.09,13.09
2017-07-05,12.98,12.98,12.98
2017-07-06,13.0,13.0,13.0
2017-07-07,12.86,12.86,12.86
2017-07-10,13.06,13.06,13.06
2017-07-11,13.23,13.23,13.23
2017-07-12,13.42,13.42,13.42
2017-07-13,13.44,13.44,13.44
2017-07-14,13.89,13.89,13.89
2017-07-17,14.01,14.01,14.01
2017-07-18,14.03,14.03,14.03
2017-07-19,14.0,14.0,14.0
2017-07-20,13.55,13.55,13.55
2017-07-21,13.47,13.47,13.47
2017-07-24,13.66,13.66,13.66
2017-07-25,14.49,14.49,14.49
2017-07-26,14.89,14.89,14.89
2017-07-27,15.3,15.3,15.3
2017-07-28,15.36,15.36,15.36
2017-07-31,15.71,15.71,15.71
2017-08-01,15.49,15.49,15.49
2017-08-02,15.41,15.41,15.41
