Target,Ablation,Mode,Route,LASSO Alpha,LASSO Validation MSE,Selected Feature Count,Selected Features,Empty-selection Fallback,ARIMA Order
lithium_carbonate,history_plus_equities,5,LSTM source sequence-major layout,0.001,0.0006600470976803553,4,target_1 | target_3 | target_4 | Ganfeng_Lithium_Close,False,
lithium_carbonate,history_plus_equities,6,LSTM source sequence-major layout,0.001,0.001451854697314644,7,target_2 | target_3 | target_5 | target_4 | target_1 | Ganfeng_Lithium_Close | Albemarle_Close,False,
lithium_carbonate,history_plus_equities,7,LSTM source sequence-major layout,0.001,0.0027028704233298837,6,target_1 | target_2 | target_5 | target_3 | target_4 | Ganfeng_Lithium_Close,False,
lithium_carbonate,history_plus_equities,8,LSTM source sequence-major layout,0.001,0.0026034610796227355,5,target_1 | target_2 | target_3 | target_4 | Ganfeng_Lithium_Close,False,
lithium_carbonate,history_plus_attention,1,ARIMA observed-test apply path,0.0025000000000000005,4.6388912601025176e-07,1,target_1,False,"(1, 2, 3)"
lithium_carbonate,history_plus_attention,2,ARIMA observed-test apply path,0.001,1.406138847661226e-06,2,target_1 | Trends_lithium_battery,False,"(2, 1, 3)"
lithium_carbonate,history_plus_attention,3,LSTM source sequence-major layout,0.001,2.8324590492896135e-05,2,target_1 | target_5,False,
lithium_carbonate,history_plus_attention,4,LSTM source sequence-major layout,0.001,0.0001051265290803786,2,target_1 | target_5,False,
lithium_carbonate,history_plus_attention,5,LSTM source sequence-major layout,0.001,0.0006592690473956674,3,target_1 | target_3 | target_4,False,
lithium_carbonate,history_plus_attention,6,LSTM source sequence-major layout,0.001,0.0014700383790619482,5,target_2 | target_3 | target_5 | target_4 | target_1,False,
lithium_carbonate,history_plus_attention,7,LSTM source sequence-major layout,0.001,0.002741377722910291,6,target_1 | target_2 | target_5 | target_3 | target_4 | Trends_lithium_carbonate,False,
lithium_carbonate,history_plus_attention,8,LSTM source sequence-major layout,0.001,0.002639924788625592,5,target_1 | target_2 | target_3 | target_4 | Trends_lithium_carbonate,False,
lithium_carbonate,history_plus_news,1,ARIMA observed-test apply path,0.0025000000000000005,4.6388912601021894e-07,1,target_1,False,"(1, 2, 3)"
lithium_carbonate,history_plus_news,2,ARIMA observed-test apply path,0.016600000000000007,5.310170293684044e-06,1,target_1,False,"(1, 2, 3)"
lithium_carbonate,history_plus_news,3,LSTM source sequence-major layout,0.001,2.8308220977982048e-05,2,target_1 | target_5,False,
lithium_carbonate,history_plus_news,4,LSTM source sequence-major layout,0.001,0.00010562026281086294,3,target_1 | target_5 | News_TextBlob_Polarity,False,
lithium_carbonate,history_plus_news,5,LSTM source sequence-major layout,0.001,0.0006377339261618148,5,target_1 | target_3 | target_4 | News_Article_Count | News_FinBERT_Score,False,
lithium_carbonate,history_plus_news,6,LSTM source sequence-major layout,0.001,0.0015299120724945028,8,target_2 | target_3 | target_5 | target_4 | target_1 | News_FinBERT_Score | News_Article_Count | News_TextBlob_Polarity,False,
lithium_carbonate,history_plus_news,7,LSTM source sequence-major layout,0.001,0.0027533827264733545,6,target_1 | target_2 | target_5 | target_3 | target_4 | News_FinBERT_Score,False,
lithium_carbonate,history_plus_news,8,LSTM source sequence-major layout,0.001,0.002663894922743933,7,target_1 | target_2 | target_3 | target_4 | News_TextBlob_Polarity | News_FinBERT_Score | News_Article_Count,False,
lithium_carbonate,history_plus_market_controls,1,ARIMA observed-test apply path,0.0013000000000000002,1.9924559927494865e-06,6,target_1 | MVIS_Critical_Minerals | target_2 | target_3 | target_4 | target_5,False,"(5, 0, 2)"
lithium_carbonate,history_plus_market_controls,2,ARIMA observed-test apply path,0.0018000000000000004,1.0648290391078114e-06,2,target_1 | SP500,False,"(1, 2, 3)"
lithium_carbonate,history_plus_market_controls,3,LSTM source sequence-major layout,0.001,2.5729133354834656e-05,3,target_1 | target_5 | MVIS_Critical_Minerals,False,
lithium_carbonate,history_plus_market_controls,4,LSTM source sequence-major layout,0.001,0.00010208315845202405,4,target_1 | target_5 | MVIS_Critical_Minerals | VIX,False,
lithium_carbonate,history_plus_market_controls,5,LSTM source sequence-major layout,0.001,0.0006526008004690314,4,target_1 | target_3 | target_4 | MVIS_Critical_Minerals,False,
lithium_carbonate,history_plus_market_controls,6,LSTM source sequence-major layout,0.0012000000000000001,0.0015598170747807404,7,target_2 | target_3 | target_5 | target_4 | target_1 | US_Dollar_Index | MVIS_Critical_Minerals,False,
lithium_carbonate,history_plus_market_controls,7,LSTM source sequence-major layout,0.0017000000000000003,0.002818570564125119,7,target_1 | target_2 | target_3 | target_5 | target_4 | MVIS_Critical_Minerals | US_Dollar_Index,False,
lithium_carbonate,history_plus_market_controls,8,LSTM source sequence-major layout,0.0012000000000000001,0.002715650891957895,7,target_1 | target_2 | target_3 | target_4 | MVIS_Critical_Minerals | US_Dollar_Index | VIX,False,
lithium_carbonate,full_multimodal,1,ARIMA observed-test apply path,0.0013000000000000002,5.826780101945081e-07,3,target_1 | Ganfeng_Lithium_Close | Cross_Lithium_Close,False,"(1, 0, 3)"
lithium_carbonate,full_multimodal,2,ARIMA observed-test apply path,0.0018000000000000004,1.0650226749201135e-06,2,target_1 | SP500,False,"(1, 2, 3)"
lithium_carbonate,full_multimodal,3,LSTM source sequence-major layout,0.001,2.9589077277196436e-05,4,target_1 | target_5 | Ganfeng_Lithium_Close | Cross_Lithium_Close,False,
lithium_carbonate,full_multimodal,4,LSTM source sequence-major layout,0.001,0.00010349487960164054,4,target_1 | target_5 | Ganfeng_Lithium_Close | VIX,False,
lithium_carbonate,full_multimodal,5,LSTM source sequence-major layout,0.001,0.0006460442316399129,6,target_1 | target_3 | target_4 | Ganfeng_Lithium_Close | News_Article_Count | News_FinBERT_Score,False,
lithium_carbonate,full_multimodal,6,LSTM source sequence-major layout,0.0012000000000000001,0.0015792272666158061,9,target_2 | target_3 | target_5 | target_4 | target_1 | US_Dollar_Index | Cross_Lithium_Close | News_FinBERT_Score | News_Article_Count,False,
lithium_carbonate,full_multimodal,7,LSTM source sequence-major layout,0.0019000000000000004,0.002824752989506877,7,target_1 | target_2 | target_3 | target_5 | target_4 | Cross_Lithium_Close | US_Dollar_Index,False,
lithium_carbonate,full_multimodal,8,LSTM source sequence-major layout,0.0012000000000000001,0.0026855881424176858,11,target_1 | target_2 | target_3 | target_4 | Cross_Lithium_Close | US_Dollar_Index | Ganfeng_Lithium_Close | News_FinBERT_Score | News_TextBlob_Polarity | News_Article_Count | VIX,False,
